Stop_ID,Latitude,Longitude,Address
82,53.360733,-6.271677,"369-375 N Circular Rd, Cabra East, Dublin, Ireland"
83,53.36026,-6.265541,"419-421 N Circular Rd, Inns Quay, Dublin, Ireland"
84,53.360115,-6.2637,"408-410 N Circular Rd, Inns Quay, Dublin, Ireland"
85,53.373863,-6.25179,"55 Drumcondra Rd Upper, Drumcondra, Dublin, Ireland"
86,53.375996,-6.251157,"Saint Finian's, Griffith Ave, Drumcondra, Dublin 9, Ireland"
87,53.376774,-6.254857,"303-319 Griffith Ave, Whitehall, Dublin, Ireland"
88,53.377285,-6.257677,"339-359 Griffith Ave, Whitehall, Dublin, Ireland"
89,53.378002,-6.261573,"382-392 Griffith Ave, Whitehall, Dublin, Ireland"
90,53.386395,-6.265181,"135-137 Ballymun Rd, Ballygall, Dublin, Ireland"
91,53.388367,-6.265268,"161-171 Ballymun Rd, Dublin, Ireland"
92,53.389801,-6.264594,"173 Ballymun Rd, Ballymun, Dublin, Ireland"
93,53.392296,-6.264063,"Ballymun Rd, Ballymun, Dublin, Ireland"
94,53.396027,-6.264242,"R108, Ballymun, Dublin, Ireland"
100,53.303043,-6.322296,"34 Wellington Rd, Templeogue, Dublin, Ireland"
102,53.397804,-6.267702,"69, Joseph Plunkett Tower, Balcurris Rd, Ballymun, Dublin 11, Ireland"
104,53.3997,-6.2766,"Alkamakr, Belclare Cres, Ballymun, Dublin 11, Ireland"
105,53.403023,-6.281691,"Belclare View, Ballymun, Dublin, Ireland"
107,53.401974,-6.279698,"5-7 Belclare View, Ballymun, Dublin, Ireland"
108,53.399834,-6.27668,"Alkamakr, Belclare Cres, Ballymun, Dublin 11, Ireland"
110,53.397903,-6.268684,"Saint Francis, Ard Na Meala, Ballymun, Dublin 11, Ireland"
112,53.396149,-6.264059,"R108, Ballymun, Dublin, Ireland"
113,53.392265,-6.263807,"244 Ballymun Rd, Santry, Dublin, Ireland"
114,53.391338,-6.263814,"200-240 Ballymun Rd, Dublin, Ireland"
115,53.38792,-6.265143,"158-164 Ballymun Rd, Whitehall, Dublin, Ireland"
116,53.377636,-6.25966,"362-364 Griffith Ave, Whitehall, Dublin, Ireland"
117,53.377258,-6.257545,"Saint Anne's, Griffith Ave, Drumcondra, Dublin 9, Ireland"
118,53.376564,-6.253582,"280-286 Griffith Ave, Whitehall, Dublin, Ireland"
119,53.37516,-6.250914,"174-176 Drumcondra Rd Upper, Drumcondra, Dublin, Ireland"
124,53.394867,-6.260624,"Shangan Rd, Santry, Dublin, Ireland"
126,53.399078,-6.263979,"R108, Dublin, Ireland"
127,53.399124,-6.263812,"R108, Santry, Dublin, Ireland"
128,53.389313,-6.265817,"Ard Patrick, Glasnevin Ave, Ballygall, Dublin 11, Ireland"
129,53.38995,-6.271409,"79-87 Glasnevin Ave, Ballymun, Dublin, Ireland"
130,53.390129,-6.274168,"116 Glasnevin Ave, Ballymun, Dublin, Ireland"
131,53.390404,-6.278342,"122-186 Glasnevin Ave, Ballymun, Dublin, Ireland"
132,53.390533,-6.282653,"The Medical Practice, Glasnevin Ave, Ballymun, Dublin 11, Ireland"
133,53.390797,-6.286194,"2 Grove Park Rd, Ballymun, Dublin, Ireland"
134,53.393143,-6.286043,"132-150 Sycamore Rd, Ballymun, Dublin, Ireland"
136,53.394451,-6.289903,"99-101 McKee Rd, Dublin, Ireland"
137,53.392361,-6.292652,"48-50 McKee Rd, Finglas North, Dublin, Ireland"
138,53.389877,-6.292329,"Ballygall Rd W, Finglas North, Dublin, Ireland"
139,53.390461,-6.286439,"Rayja, Glasnevin Ave, Ballygall, Dublin 11, Ireland"
140,53.390537,-6.282358,"Saint Andrews, Glasnevin Ave, Ballymun, Dublin 11, Ireland"
141,53.390388,-6.278087,"122-186 Glasnevin Ave, Ballymun, Dublin, Ireland"
142,53.390129,-6.274167,"116 Glasnevin Ave, Ballymun, Dublin, Ireland"
143,53.389793,-6.269247,"44-62 Glasnevin Ave, Ballymun, Dublin, Ireland"
146,53.375195,-6.265116,"83-85 St Mobhi Rd, Dublin, Ireland"
147,53.372498,-6.265924,"Saint Mobhi Scouts Hall, St Mobhi Rd, Botanic, Dublin 9, Ireland"
148,53.370617,-6.26803,"92-112 St Mobhi Rd, Botanic, Dublin, Ireland"
149,53.373112,-6.265819,"109-127 St Mobhi Rd, Botanic, Dublin, Ireland"
150,53.375626,-6.264917,"79 St Mobhi Rd, Dublin, Ireland"
151,53.371906,-6.26923,"163-165 Botanic Rd, Botanic, Dublin, Ireland"
153,53.37569,-6.270097,"66 Glasnevin Hill, Botanic, Dublin, Ireland"
